"","Article_day","True_Dummy","Likert_Evaluation","Age","Dig_Lit_Avg","Income_Score","CRT_Score","Familiar_Story","Education_Score","Duration","Ideology_Score","Gender","ResponseId","Treatment","Dummy_Ideology","Article_Lean","Dummy_Congruence","Susc_FN","Treat_Search"
"151","dec 11_1",0,3,24,4.2,0,1,"No",3,569,-2,1,"R_1OOgMjW2zrXOrzQ",0,"Liberal","Conservative",0,0,0
"152","dec 11_1",0,4,44,4.5,2,2,"Yes",1,571,-3,1,"R_1P60Ap54Eyx2OKw",0,"Liberal","Conservative",0,0,0
"153","dec 11_1",1,7,35,4.5,3,2,"Yes",4,564,3,0,"R_2QPPihGiwcen1jP",0,"Conservative","Conservative",1,1,0
"154","dec 11_1",1,7,39,2.9,1,1,"Yes",3,3659,-2,0,"R_voSJnRA2pvJUc3n",0,"Liberal","Conservative",0,1,0
"155","dec 11_1",0,4,26,4.5,2,1,"Yes",3,862,-3,0,"R_1EhCiwc6oMQApB7",0,"Liberal","Conservative",0,0,0
"156","dec 11_1",0,4,50,3.5,1,3,"No",3,463,0,0,"R_1f6IPmEuMnZT5P5",0,"Moderate","Conservative",0,0,0
"157","dec 11_1",0,1,65,3.3,3,0,"Yes",4,652,-2,0,"R_271hcZEZ9uOeGFq",0,"Liberal","Conservative",0,0,0
"158","dec 11_1",1,7,41,4.5,2,1,"No",3,1265,2,0,"R_2aVVcohs8xwwm2o",0,"Conservative","Conservative",1,1,0
"159","dec 11_1",1,6,21,4.3,0,1,"Yes",1,949,3,0,"R_8hSbYAax2DZaH4J",0,"Conservative","Conservative",1,1,0
"160","dec 11_1",0,4,54,2.7,0,3,"Yes",1,2973,-1,1,"R_BFYczR8hmomIclH",0,"Liberal","Conservative",0,0,0
"161","dec 11_1",1,6,27,3.6,1,1,"No",3,641,2,0,"R_2urpgHYx4FGOrax",0,"Conservative","Conservative",1,1,0
"162","dec 11_1",0,3,20,1.2,0,3,"No",2,706,0,1,"R_wUnbMcLqnKh3c5j",0,"Moderate","Conservative",0,0,0
"163","dec 11_1",1,5,50,4.6,2,2,"Yes",2,1099,2,0,"R_1CEcerGcnDuS9yX",0,"Conservative","Conservative",1,1,0
"164","dec 11_1",0,3,18,3.8,2,2,"Not Sure",1,785,0,0,"R_3e38hCd2tg1W4mp",0,"Moderate","Conservative",0,0,0
"165","dec 11_1",0,2,36,4.3,1,1,"No",2,2873,-2,0,"R_1MLf0ULT3yUnhk0",0,"Liberal","Conservative",0,0,0
"166","dec 11_1",1,6,33,4.7,2,1,"No",4,2228,2,0,"R_2lSERC9YyAcvR7z",0,"Conservative","Conservative",1,1,0
"167","dec 11_1",0,2,57,3.2,1,3,"Yes",1,1696,-2,0,"R_1eQMI9hktnRt4Qh",0,"Liberal","Conservative",0,0,0
"168","dec 11_1",1,5,62,3.8,1,0,"Yes",4,1918,3,0,"R_1C9AW8gKDV6feMW",0,"Conservative","Conservative",1,1,0
"169","dec 11_1",1,6,53,4.6,0,2,"Not Sure",1,8150,0,0,"R_2R4wPonaM5SF88z",0,"Moderate","Conservative",0,1,0
"170","dec 11_1",0,2,64,3.9,1,2,"Not Sure",3,2861,-2,0,"R_SOAMZEzpq9XpQIN",0,"Liberal","Conservative",0,0,0
"171","dec 11_1",1,4,50,4.1,3,0,"Yes",3,1377,1,0,"R_xub0XlXt21HCijL",0,"Conservative","Conservative",1,1,0
"172","dec 11_1",0,2,45,3.4,0,1,"No",4,2010,0,1,"R_2AWDL1FZupxAY4b",0,"Moderate","Conservative",0,0,0
"173","dec 11_1",0,4,38,2.6,0,0,"No",1,1381,0,1,"R_PBVdWoT14KkuTex",0,"Moderate","Conservative",0,0,0
"174","dec 11_1",0,1,64,4.3,0,2,"No",3,2291,-2,1,"R_UnlS4HsMvsdjnj3",0,"Liberal","Conservative",0,0,0
"175","dec 11_1",0,5,61,3.8,0,0,"Yes",4,3300,-1,1,"R_1Le4JSyxHcEAYOA",0,"Liberal","Conservative",0,0,0
"176","dec 11_1",0,5,50,3.4,2,3,"Not Sure",2,1635,0,1,"R_2ClwapqvmOjSanR",0,"Moderate","Conservative",0,0,0
"177","dec 11_1",1,5,50,3.4,2,3,"Not Sure",2,1635,0,1,"R_2ClwapqvmOjSanR",1,"Moderate","Conservative",0,1,1
"178","dec 11_1",1,5,50,4.1,3,0,"Yes",3,1377,1,0,"R_xub0XlXt21HCijL",1,"Conservative","Conservative",1,1,1
"179","dec 11_1",1,5,45,3.4,0,1,"No",4,2010,0,1,"R_2AWDL1FZupxAY4b",1,"Moderate","Conservative",0,1,1
"180","dec 11_1",0,1,38,2.6,0,0,"No",1,1381,0,1,"R_PBVdWoT14KkuTex",1,"Moderate","Conservative",0,0,1
"181","dec 11_1",0,1,64,4.3,0,2,"No",3,2291,-2,1,"R_UnlS4HsMvsdjnj3",1,"Liberal","Conservative",0,0,1
